1700013H16Rik,4930570D08Rik,4930579C12Rik,Adap1,Adsl,Anp32e,Asb13,Caln1,Ccnyl1,Chga,Cpne4,Cyp2d10,Dnajb1,En1,Eno1,F830016B08Rik,Fam83d,Gas8,Gcfc2,Gm10230,Gm10642,Gm11832,Gm12907,Gm13944,Gm15922,Gm16564,Gm17508,Gm26542,Gm26877,Gm28154,Gnaq,Gng2,Hacl1,Hcar1,Iah1,Inppl1,Ins1,Irs4,Kirrel3os,Klk8,Krt87,Lilra6,Lmtk2,Lonrf3,Marcks,Mdh2,Mob3b,Myh6,Nat8f1,Neurog2,Noto,Olfr1006,Olfr1290,Olfr612,Olig2,Pdzd2,Podn,Ppia,Ppp1r13l,Ppp1r14a,Prss44,Ptprc,Rbp3,Rcor1,Rpl22l1,Sox17,Sssca1,Tbx19,Tceal5,Tead1,Tgtp2,Tnc,Top3b,Zbtb17
0,0,0,0.16465,0,0,0,0,0,1.5089,0,0,0,0,0,0,0,0.32504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4923,0,0.32504,0,0,0,0,0,0.62092,0.47781,0,0,0,0,0,0,0,0,0,0,0,1.3598,0,0,0,0.16465,0,0,0.47781,0,0,0.16465,0,0,0,0,0,0
0,0,0,0.19424,0,0,0,0,0,0.3816,0,0.19424,0,0,0.19424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19424,0,0,0,0,0,0,0,0,0.19424,0,2.1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.2111,0,0,0,0,0,0,0,0,0,0,0.2111,0,0,0,0.41347,0,0,0,0,0,0,0,0,0,0,0.2111,0,0,0,0,0,0.92549,0.2111,0,0,0,0,0,0,0,1.0638,0,0,0,0,0,0.2111,0,0,0,0.2111,0,0,0.60116,0,0.2111,0,0.2111,0,0.60116,0,0,0,0.2111,0,0,0,0,0,0.2111
0,0,0,0,0,0,0,0,0,0.52615,0,0,0,0,0,0,0,0,0.18257,0,0,0,0,0,0,0,0,0,0,0,0.18257,0,0,0,0.18257,0,4.2132,0,0,0,0,0,0,0,0,0.18257,0,0,0,0,0,0,0,0,0.18257,0,0,0.95137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.17353,0.17353,0,0.17353,0,0,0.17353,0,0.50186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17353,0,0,0,0,0,0.17353,0,0,0,0,0,0,0,1.0292,0,0,0,0,0.17353,0,0,0,0,0,0,0,1.5571,0,0,0,0,0,0,0,0,0,0,0,0.17353,0,0,0,0
0,0,0,0,0.19952,0,0,0,0,1.3541,0,0,0,0,0,0,0,0,0,0,0.19952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19952,0,0,0,0,0,0,1.6133,0,0,0,0,0.19952,0.19952,0,0,0,0.19952,0,0,0,0,0,0
0,0,0,0.18695,0,0.53782,0,0,0,0.69488,0,0,0,0,0,0,0,0,0.18695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2969,0,0,0,0,0,0.69488,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.2087,0,0,0,0,0.2087,0.2087,0,0,0,0,0,0,0,0.2087,0,0,0,0,0,0,0,0,0,0,0,0.59493,0,0,0,0,0.40894,0.40894,0,0,0,0,0,0,0.2087,0.40894,0.76426,0,0.2087,0,0.2087,0.2087,0,0,0,0,0.2087,0,1.1789,0,0,0,0,0.2087,0,0,0,0,0.2087,0,0.2087,0,0,0.2087,0
0,0,0,0,0.19795,0,0,0,0,0,0.19795,0,0,0,0.19795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38863,0,0,0,0.19795,0,0,1.3471,0,0,0,0,0,0,0,0,0,0,0,0,1.2458,0,0,0,0,0,0,0,0,0,0.19795,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.38753,0,0.56535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56535,0,0,0,0,0.72844,0,0,0,0,0,0,0,0,1.5235,0.38753,0,0,0,0,0,0,0,0,0,0,0,1.0108,0,0.38753,0,0,0,0,0.56535,0,0,0,0,0,0,0,0,0
